"source","target","value","Energy","Process","AFOLU"
"1_Travel","2_Passenger transport","4288.20","4130.7","1.2","156.2"
"1_Travel","2_Freight","0.00","0","0","0"
"1_Travel","2_Residential","0.00","0","0","0"
"1_Travel","2_Commerce, Public","0.00","0","0","0"
"1_Travel","2_Industrial facilities","0.00","0","0","0"
"1_Travel","2_Iron and steel","281.10","245.1","35.2","0.8"
"1_Travel","2_Chemical","129.10","62.8","65.8","0.5"
"1_Travel","2_Cement","0.00","0","0","0"
"1_Travel","2_Non-ferrous","218.90","195.7","20.6","2.6"
"1_Travel","2_Food processing","0.00","0","0","0"
"1_Travel","2_Paper","0.00","0","0","0"
"1_Travel","2_Textiles","0.00","0","0","0"
"1_Travel","2_Other industry","297.50","267.9","16.6","13"
"1_Travel","2_Agriculture: vegetal","0.00","0","0","0"
"1_Travel","2_Agriculture: animal","0.00","0","0","0"
"1_Travel","2_Settlements","0.00","0","0","0"
"1_Travel","2_Waste","0.00","0","0","0"
"1_Commuting","2_Passenger transport","1700.90","1638.4","0.5","62"
"1_Commuting","2_Freight","0.00","0","0","0"
"1_Commuting","2_Residential","0.00","0","0","0"
"1_Commuting","2_Commerce, Public","0.00","0","0","0"
"1_Commuting","2_Industrial facilities","0.00","0","0","0"
"1_Commuting","2_Iron and steel","120.50","105.1","15.1","0.3"
"1_Commuting","2_Chemical","64.50","31.4","32.9","0.3"
"1_Commuting","2_Cement","0.00","0","0","0"
"1_Commuting","2_Non-ferrous","85.10","76.1","8","1"
"1_Commuting","2_Food processing","0.00","0","0","0"
"1_Commuting","2_Paper","0.00","0","0","0"
"1_Commuting","2_Textiles","0.00","0","0","0"
"1_Commuting","2_Other industry","99.20","89.3","5.5","4.3"
"1_Commuting","2_Agriculture: vegetal","0.00","0","0","0"
"1_Commuting","2_Agriculture: animal","0.00","0","0","0"
"1_Commuting","2_Settlements","0.00","0","0","0"
"1_Commuting","2_Waste","0.00","0","0","0"
"1_Freight","2_Passenger transport","0.00","0","0","0"
"1_Freight","2_Freight","4462.40","4325.4","2.7","134.3"
"1_Freight","2_Residential","0.00","0","0","0"
"1_Freight","2_Commerce, Public","0.00","0","0","0"
"1_Freight","2_Industrial facilities","0.00","0","0","0"
"1_Freight","2_Iron and steel","200.80","175.1","25.2","0.6"
"1_Freight","2_Chemical","64.50","31.4","32.9","0.3"
"1_Freight","2_Cement","0.00","0","0","0"
"1_Freight","2_Non-ferrous","62.30","55.7","5.9","0.7"
"1_Freight","2_Food processing","0.00","0","0","0"
"1_Freight","2_Paper","0.00","0","0","0"
"1_Freight","2_Textiles","0.00","0","0","0"
"1_Freight","2_Other industry","148.70","133.9","8.3","6.5"
"1_Freight","2_Agriculture: vegetal","0.00","0","0","0"
"1_Freight","2_Agriculture: animal","0.00","0","0","0"
"1_Freight","2_Settlements","0.00","0","0","0"
"1_Freight","2_Waste","0.00","0","0","0"
"1_Washing","2_Passenger transport","0.00","0","0","0"
"1_Washing","2_Freight","0.00","0","0","0"
"1_Washing","2_Residential","1745.70","1698.6","29.4","17.8"
"1_Washing","2_Commerce, Public","790.90","727.6","51.7","11.5"
"1_Washing","2_Industrial facilities","358.70","274.8","69.5","14.4"
"1_Washing","2_Iron and steel","80.30","70","10.1","0.2"
"1_Washing","2_Chemical","548.50","266.8","279.6","2.1"
"1_Washing","2_Cement","0.00","0","0","0"
"1_Washing","2_Non-ferrous","51.90","46.4","4.9","0.6"
"1_Washing","2_Food processing","0.00","0","0","0"
"1_Washing","2_Paper","102.00","80.7","1.1","20.2"
"1_Washing","2_Textiles","0.00","0","0","0"
"1_Washing","2_Other industry","545.40","491.1","30.5","23.8"
"1_Washing","2_Agriculture: vegetal","0.00","0","0","0"
"1_Washing","2_Agriculture: animal","0.00","0","0","0"
"1_Washing","2_Settlements","0.00","0","0","0"
"1_Washing","2_Waste","0.00","0","0","0"
"1_Thermal comfort","2_Passenger transport","0.00","0","0","0"
"1_Thermal comfort","2_Freight","0.00","0","0","0"
"1_Thermal comfort","2_Residential","2718.50","2645.1","45.8","27.6"
"1_Thermal comfort","2_Commerce, Public","1751.80","1611.7","114.6","25.5"
"1_Thermal comfort","2_Industrial facilities","865.10","662.7","167.6","34.8"
"1_Thermal comfort","2_Iron and steel","40.20","35","5","0.1"
"1_Thermal comfort","2_Chemical","0.00","0","0","0"
"1_Thermal comfort","2_Cement","0.00","0","0","0"
"1_Thermal comfort","2_Non-ferrous","0.00","0","0","0"
"1_Thermal comfort","2_Food processing","0.00","0","0","0"
"1_Thermal comfort","2_Paper","0.00","0","0","0"
"1_Thermal comfort","2_Textiles","0.00","0","0","0"
"1_Thermal comfort","2_Other industry","0.00","0","0","0"
"1_Thermal comfort","2_Agriculture: vegetal","0.00","0","0","0"
"1_Thermal comfort","2_Agriculture: animal","0.00","0","0","0"
"1_Thermal comfort","2_Settlements","0.00","0","0","0"
"1_Thermal comfort","2_Waste","0.00","0","0","0"
"1_Light","2_Passenger transport","0.00","0","0","0"
"1_Light","2_Freight","0.00","0","0","0"
"1_Light","2_Residential","879.50","855.8","14.8","8.9"
"1_Light","2_Commerce, Public","688.20","633.2","45","10"
"1_Light","2_Industrial facilities","230.60","176.7","44.7","9.3"
"1_Light","2_Iron and steel","0.00","0","0","0"
"1_Light","2_Chemical","0.00","0","0","0"
"1_Light","2_Cement","0.00","0","0","0"
"1_Light","2_Non-ferrous","0.00","0","0","0"
"1_Light","2_Food processing","0.00","0","0","0"
"1_Light","2_Paper","0.00","0","0","0"
"1_Light","2_Textiles","0.00","0","0","0"
"1_Light","2_Other industry","0.00","0","0","0"
"1_Light","2_Agriculture: vegetal","0.00","0","0","0"
"1_Light","2_Agriculture: animal","0.00","0","0","0"
"1_Light","2_Settlements","0.00","0","0","0"
"1_Light","2_Waste","0.00","0","0","0"
"1_Communication","2_Passenger transport","0.00","0","0","0"
"1_Communication","2_Freight","0.00","0","0","0"
"1_Communication","2_Residential","906.20","881.7","15.3","9.2"
"1_Communication","2_Commerce, Public","790.90","727.6","51.7","11.5"
"1_Communication","2_Industrial facilities","52.70","40.4","10.2","2.1"
